Movie Name,Song Name,Music Director,Actor Name,Actress Name,Filename
Yuvan Yuvathi,24 Hours Lyrics Yuvan Yuvathi Song Lyrics,Vijay Antony,Bharath,Rima Kallingal,24-hours-lyrics-yuvan-yuvathi-song.json
Kathai Thiraikathai Vasanam,A for Azhaguirukku Lyrics Kathai Thiraikathai Vasanam Song Lyrics,Vijay Antony,Sathyaraj,Tanya,a-for-azhaguirukku-lyrics-kathai.json
Aadhi Bhagavan,Aadhi Bhagavan Rap Song Lyrics,Yuvan,Jay am Ravi,Neetu Chandra,aadhi-bhagavan-rap-song-lyrics.json
Atta Kathi,Aadi Pona Aavani Lyrics in Tamil,Santhosh Narayanan,Silambarasan,Hansika Motwani,aadi-pona-aavani-lyrics-in-tamil.json
Atta Kathi,Aadi Ponaa Aavani Lyrics Atta Kathi Song Lyrics,Santhosh Narayanan,Silambarasan,Hansika Motwani,aadi-ponaa-aavani-lyrics-atta-kathi.json
Motta Shiva Ketta Shiva,Aaduladan Padalai Kaettu Lyrics Motta Shiva Ketta Shiva,Amresh Ganesh,Raghava Lawrence,Nikki Galrani,aaduladan-padalai-kaettu-lyrics-motta.json
Bangalore Naatkal,Aaga Motham Ennai Lyrics Bangalore Naatkal Song Lyrics,Gopi Sundar,Arya,Sri Divya,aaga-motham-ennai-lyrics-bangalore.json
Manjapai,Aagaasa Nilavu Dhaan Lyrics Manja Pai,N. R. Raghunanthan,Vimal,Lakshmi Menon,aagaasa-nilavu-dhaan-lyrics-manja-pai.json
Dear Comrade,Aagaasa Veedu Kattum Lyrics Tamil (Dear Comrade),Justin Prabhakaran,Vijay Deverakonda,Rashmika Mandanna,aagaasa-veedu-kattum-song-lyrics-tamil.json
Unakkum Enakkum,Aagaayam Ithanai Naal Lyrics Unakkum Enakkum,Devi Sri Prasad(DSP),Jayam Ravi,Trisha,aagaayam-ithanai-naal-lyrics-unakkum.json
Samurai,Aagaya Sooriyanai Lyrics Samurai,Harrish Jeyaraj,Vikram,Anita Hassanandani,aagaya-sooriyanai-lyrics-samurai.json
Yaadhumaagi Nindraai,Aagayam Thaayaga Song Lyrics Yaadhumaagi Nindraai,Ashwin Vinayagamoorthy,Aadhav Kannadasan,Riythvika,aagayam-thaayaga-song-lyrics.json
Moondru Per Moondru Kadhal,Aaha Kaadhal Lyrics Moondru Per Moondru Kadhal Songs Lyrics,Yuvan,Arjun,Cheran,aaha-kaadhal-lyrics-moondru-per-moondru.json
Vaseegara,Aahaa Enbargal Song Lyrics Vaseegara,S.A.Rajkumar,Vijay,Sneha,aahaa-enbargal-song-lyrics-vaseegara.json
Valiyavan,Aahaa Kathal Vandhu  Lyrics Valiyavan Song Lyrics,D Imman,Jai,Andrea Jeremiah,aahaa-kathal-vandhu-lyrics-valiyavan.json
Sangamam,Aalaala Kandaa Lyrics Sangamam,AR Rahman,Rahman,Vindhya,aalaala-kandaa-lyrics-sangamam.json
Parthiban Kanavu,Aalanguyil Koovum Rayyil Lyrics Parthiban Kanavu,Vidyasagar,Srikanth,Sneha,aalanguyil-koovum-rayyil-lyrics.json
Mersal,Aalaporaan Thamizhan Lyrics Mersal,AR Rahman,Vijay,Samantha Ruth Prabhu,aalaporaan-thamizhan-lyrics-mersal.json
Vil Ambu,Aale Saachuputta Kannalaa Lyrics Vil Ambu Song Lyrics,Navin,Sri,Harish Kalyan,aale-saachuputta-kannalaa-lyrics-vil.json
Vedalam,Aaluma Doluma Lyrics Vedalam Song Lyrics,Anirudh,Ajith Kumar,Shruti Haasan,aaluma-doluma-lyrics-vedalam-song-lyrics.json
Kazhugu,Aambalaikum Pombalaikum Lyrics Kazhugu Songs Lyrics,Yuvan,Krishna,Bindu Madhavi,aambalaikum-pombalaikum-lyrics-kazhugu.json
10 Endrathukulla,Aanaalum Indha Mayakkam Lyrics 10 Endrathukulla Song Lyrics,N/A,Vikram,Samantha Ruth Prabhu,aanaalum-indha-mayakkam-lyrics-10.json
